,mean_episode_reward,phi_pi_lr,rho,r2,mean_pi,mean_x,mean_i,diverged_steps
Taylor rule,-11.3429,1.65995,0.507571,0.820731,1.935255,0.049645,5.924386,0.0
Full obs,-18.41636,0.750456,0.221982,0.283075,1.894508,-0.268346,5.929401,3.666667
Calibrated,-6.452061,1.049914,0.336996,0.394824,1.934341,0.032938,5.927466,0.0
Overconfident,-6.039854,1.005985,0.37146,0.424421,1.940644,0.078898,5.928878,0.0
