,mean_episode_reward,phi_pi_lr,rho,r2,mean_pi,mean_x,mean_i,diverged_steps
Taylor rule,-11.3429,1.65995,0.507571,0.820731,1.935255,0.049645,5.924386,0.0
Full obs,-9.644603,1.210402,0.128364,0.318741,1.970591,0.294531,5.941613,0.0
Calibrated,-9.534812,1.274517,0.132497,0.324758,1.966664,0.26655,5.942519,0.0
Overconfident,-9.631943,1.312637,0.152632,0.336955,1.966144,0.265277,5.94097,0.0
