,mean_episode_reward,phi_pi_lr,rho,r2,mean_pi,mean_x,mean_i,diverged_steps
Taylor rule,-11.3429,1.65995,0.507571,0.820731,1.935255,0.049645,5.924386,0.0
Full obs,-22.795891,0.756374,0.2527,0.317786,1.898404,-0.254889,5.944626,5.666667
Calibrated,-14.845542,0.017569,-0.196208,0.192267,1.900358,-0.227986,5.922731,0.0
Overconfident,-16.277397,0.018675,-0.244154,0.242076,1.905934,-0.192601,5.928311,0.0
